@RELATION music_speech
@ATTRIBUTE WIN0_MEAN NUMERIC
@ATTRIBUTE WIN1_MEAN NUMERIC
@ATTRIBUTE WIN2_MEAN NUMERIC
@ATTRIBUTE WIN3_MEAN NUMERIC
@ATTRIBUTE WIN4_MEAN NUMERIC
@ATTRIBUTE WIN5_MEAN NUMERIC
@ATTRIBUTE WIN6_MEAN NUMERIC
@ATTRIBUTE WIN7_MEAN NUMERIC
@ATTRIBUTE WIN8_MEAN NUMERIC
@ATTRIBUTE WIN9_MEAN NUMERIC
@ATTRIBUTE WIN10_MEAN NUMERIC
@ATTRIBUTE WIN11_MEAN NUMERIC
@ATTRIBUTE WIN12_MEAN NUMERIC
@ATTRIBUTE WIN13_MEAN NUMERIC
@ATTRIBUTE WIN14_MEAN NUMERIC
@ATTRIBUTE WIN15_MEAN NUMERIC
@ATTRIBUTE WIN16_MEAN NUMERIC
@ATTRIBUTE WIN17_MEAN NUMERIC
@ATTRIBUTE WIN18_MEAN NUMERIC
@ATTRIBUTE WIN19_MEAN NUMERIC
@ATTRIBUTE WIN20_MEAN NUMERIC
@ATTRIBUTE WIN21_MEAN NUMERIC
@ATTRIBUTE WIN22_MEAN NUMERIC
@ATTRIBUTE WIN23_MEAN NUMERIC
@ATTRIBUTE WIN24_MEAN NUMERIC
@ATTRIBUTE WIN25_MEAN NUMERIC
@ATTRIBUTE WIN0_STD NUMERIC
@ATTRIBUTE WIN1_STD NUMERIC
@ATTRIBUTE WIN2_STD NUMERIC
@ATTRIBUTE WIN3_STD NUMERIC
@ATTRIBUTE WIN4_STD NUMERIC
@ATTRIBUTE WIN5_STD NUMERIC
@ATTRIBUTE WIN6_STD NUMERIC
@ATTRIBUTE WIN7_STD NUMERIC
@ATTRIBUTE WIN8_STD NUMERIC
@ATTRIBUTE WIN9_STD NUMERIC
@ATTRIBUTE WIN10_STD NUMERIC
@ATTRIBUTE WIN11_STD NUMERIC
@ATTRIBUTE WIN12_STD NUMERIC
@ATTRIBUTE WIN13_STD NUMERIC
@ATTRIBUTE WIN14_STD NUMERIC
@ATTRIBUTE WIN15_STD NUMERIC
@ATTRIBUTE WIN16_STD NUMERIC
@ATTRIBUTE WIN17_STD NUMERIC
@ATTRIBUTE WIN18_STD NUMERIC
@ATTRIBUTE WIN19_STD NUMERIC
@ATTRIBUTE WIN20_STD NUMERIC
@ATTRIBUTE WIN21_STD NUMERIC
@ATTRIBUTE WIN22_STD NUMERIC
@ATTRIBUTE WIN23_STD NUMERIC
@ATTRIBUTE WIN24_STD NUMERIC
@ATTRIBUTE WIN25_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
-98.245974,-17.355274,-9.956860,-2.243138,-3.564260,-1.770422,-1.775453,-0.654266,-0.195581,1.213192,0.593391,0.495132,0.779853,0.271713,1.446508,0.896684,0.101727,0.337578,-0.354974,0.029612,-0.846660,-0.426675,0.827508,-0.003544,-0.549627,-0.115548,8.779230,2.693095,2.137686,1.793328,1.684733,1.294530,1.812282,1.236807,1.102921,0.969821,1.059903,1.176698,1.018125,1.006662,1.112007,1.153342,1.038345,0.920086,0.825630,1.039642,1.060824,0.960968,1.312211,0.682690,1.225220,0.911865,music
-150.095633,6.922720,-5.230821,-4.290273,-0.333193,-2.595169,-2.418272,-1.478012,-2.279542,-0.364892,-0.364091,0.279584,-0.908133,-0.133943,0.140248,0.095615,0.104403,-0.098380,0.267557,-0.309763,0.020480,0.148236,0.351999,-0.122674,-0.186210,-0.070795,11.930787,2.940684,3.882109,1.494948,1.782227,1.593811,1.344328,1.179717,1.127855,1.208946,1.314344,1.265048,1.216263,0.992402,1.206486,0.852673,0.876554,0.815482,0.888195,0.779727,0.720686,0.743862,0.757100,0.672476,0.667422,0.558410,music
-105.408500,-4.708989,-12.769648,-4.746336,-5.809961,-3.172987,-3.089745,-2.366752,-2.201153,-1.084592,-0.820524,0.083351,-0.304743,0.130909,0.005073,0.399053,0.093782,0.367583,0.036157,0.189558,0.235582,0.219618,0.048039,0.167488,-0.119414,-0.120516,11.475397,4.357635,1.748425,1.373405,0.940410,0.858699,0.763702,0.813876,0.846737,0.786112,0.812657,0.945511,0.742108,0.722712,0.674005,0.715002,0.650899,0.689939,0.636866,0.675433,0.595695,0.588901,0.584070,0.456369,0.774790,0.660118,music
-123.576621,-6.387956,1.757778,6.231326,1.806353,2.598865,0.930629,2.156651,0.055961,0.334021,0.135456,-0.420739,-0.706411,0.024433,-0.290885,-0.095065,-0.525203,-0.105697,-0.203075,-0.082097,-0.412951,-0.489209,-0.492813,-0.273950,-0.184315,-0.181693,19.091338,6.782352,5.325233,3.241785,2.646999,1.844536,2.177585,1.718584,1.723216,1.594011,1.817235,1.247317,1.190729,1.172264,1.020234,0.953400,1.064304,1.075191,0.943377,0.752075,0.747140,0.764981,0.693299,0.677138,0.696823,0.731028,music
-101.539185,-10.784589,-2.490434,0.352629,-1.642017,-0.051198,-0.068914,0.026076,-0.336571,0.358121,0.031317,0.730667,0.039347,0.500343,0.095359,-0.038263,-0.138326,0.087353,-0.156345,0.063076,-0.100391,-0.077662,-0.050247,-0.142666,0.030768,0.113909,11.291714,5.879443,5.730108,2.925595,2.319913,1.929883,1.757725,1.872358,1.481772,1.335620,1.239915,1.345964,1.452914,1.299800,1.204339,1.141553,1.087551,0.993499,0.957438,0.964392,0.798233,0.860671,0.884674,0.752420,0.789881,0.682660,music
-108.323514,-12.055029,-10.921044,-2.010579,0.018042,-4.946517,-3.472147,-2.030724,-2.467934,0.221092,0.142843,1.273275,1.672867,1.270725,1.645888,1.401737,0.724586,-0.346315,0.417657,-0.361073,-0.387506,0.197448,0.099905,0.200408,-0.068683,0.079791,9.535545,2.799503,3.462193,1.761712,1.349221,2.267516,1.248377,1.369599,1.401891,0.866120,0.968692,0.874055,0.914687,0.948857,0.777797,0.889858,0.778730,0.794179,0.789238,0.763173,0.828979,0.588414,0.507572,0.527414,0.574051,0.656206,music
-83.347155,-10.726155,-3.857066,-0.020913,1.296790,-1.591285,-0.786801,-0.322986,-0.245723,0.704222,-0.419878,-0.174359,0.597525,0.407001,0.609346,0.370122,0.065395,0.346944,-0.396414,-0.473467,-0.143006,0.002702,-0.264644,0.159716,0.010347,-0.080157,15.023275,4.745694,3.455696,2.520846,1.928129,2.214666,1.765641,1.277940,1.300453,1.414218,1.223296,1.223174,1.074531,0.970589,1.028237,0.903649,0.861722,0.900045,0.791026,0.839247,0.829867,0.811280,0.771207,0.609354,0.750542,0.726812,music
-127.125761,-8.645462,-2.460684,-0.148544,-1.086687,-0.595382,-0.303981,0.642147,0.115748,0.203518,-0.584258,-0.143780,-0.527014,-0.028623,-0.035395,0.717558,0.425560,-0.207800,-0.444931,0.125606,-0.040024,-0.144733,0.006471,0.190328,0.002807,-0.081610,21.082563,5.220481,3.811827,2.607096,2.091780,1.504598,1.409185,1.557220,1.409268,1.092457,0.938693,1.060003,1.104524,0.923031,1.158625,0.953250,0.814102,0.704472,0.681349,0.799562,0.664014,0.660362,0.658776,0.589683,0.675023,0.495455,music
-100.862081,-9.712928,-1.400320,1.810822,0.886937,0.117297,-0.773789,0.904316,-0.274764,1.041534,0.332853,0.650900,0.875653,0.202135,0.998623,0.590229,0.429804,0.021011,-0.235872,0.342280,-0.154984,0.008148,-0.002026,-0.001148,-0.148176,-0.090683,14.834170,4.219553,3.572433,2.037810,2.226535,1.482572,1.744846,1.421362,1.252513,1.379113,1.376697,1.216827,1.149675,1.067795,1.010175,0.930038,1.082957,0.963069,1.010992,0.910565,0.831030,0.879790,0.949231,0.644668,0.709620,0.795009,music
-112.507406,5.719327,-9.248837,-2.127806,-2.398804,-3.201155,-3.165176,-2.179418,-1.735287,-0.153150,-1.055495,-1.325940,-1.255386,-0.696428,-0.470459,0.246694,-0.228414,-0.444157,-0.689447,-0.602083,0.012937,-0.286625,-0.417756,0.054613,0.144937,-0.011894,16.667995,2.978274,2.341775,2.082318,1.613793,1.451598,1.432178,1.376938,1.630336,1.923237,1.830078,2.062620,1.973481,1.524309,1.572934,1.852586,1.523595,0.900825,0.985710,1.022436,1.125464,1.025388,0.897052,0.888237,1.189992,0.947533,music
-93.768525,-8.617555,-9.370520,-2.731788,-2.266581,-0.266674,0.559548,-0.160970,-1.277334,-0.955858,0.063088,0.553780,0.699119,0.294151,0.485216,-0.132655,-0.605709,-0.815443,-0.255707,0.351372,0.432900,0.373564,0.452017,0.516411,0.429729,0.027418,24.512335,4.926045,3.473104,2.241301,1.890304,1.910206,1.780663,1.870933,1.661367,1.506762,1.600314,1.462074,1.295332,1.143596,1.259174,1.522727,1.591330,1.456403,1.150730,1.389988,1.171107,1.038010,0.899379,0.925851,0.998748,1.068767,music
-118.383516,6.605715,-7.653201,5.600040,-1.051598,0.132328,-0.421950,-0.810186,-1.231986,-0.490422,-0.651833,-0.255741,0.358099,0.465263,0.089434,0.268295,0.079047,0.215262,0.007513,0.068036,-0.114163,-0.212934,0.180133,0.195252,0.032928,-0.058259,10.205446,3.196050,2.940848,2.526840,1.838048,1.424463,1.457607,1.244998,1.137151,0.996904,0.945775,1.002923,0.790183,0.813851,0.671671,0.728645,0.628906,0.826155,0.715571,0.622076,0.597248,0.636836,0.601898,0.568601,0.534483,0.525521,music
-83.106605,-10.522851,-3.442617,-0.389541,-1.229219,0.582056,-1.836977,-0.634716,-0.583807,-0.126864,-0.028646,0.374299,0.268290,0.363470,0.707785,0.425668,0.068543,-0.255929,-0.702154,-0.385776,-0.702515,-0.499130,-0.062027,-0.173290,-0.082243,-0.045078,14.014240,5.939578,3.602569,2.378362,2.257569,2.047861,2.110557,1.701038,1.632558,1.268121,1.274316,1.381248,1.329168,1.273455,1.306332,1.118203,0.982812,0.870511,1.072064,0.998493,0.882772,0.829531,0.740510,0.671446,0.672540,0.675398,music
